,Magpie,Mat2Vec,MEGNet,SkipAtom,Oliynyk,XenonPy,CGNF,CrystaLLM,MACE-MP-0,SevenNet,ORB-v2
Magpie,1.0,0.38444501825844374,0.4553642750628917,0.5642335937898679,0.8600963517236999,0.2748278760128914,0.5590163677849405,0.5203272305810318,0.4664052148840695,0.46174106593553954,0.33631491972375316
Mat2Vec,0.38444501825844374,1.0,0.3052321154458533,0.501246576386556,0.5579225775837166,0.17178596020210996,0.3994978625459398,0.5095680996699704,0.4326065637306554,0.3786883732276776,0.23676388467278026
MEGNet,0.4553642750628917,0.3052321154458533,1.0,0.4771113385853821,0.5485634850030142,0.26246780787053914,0.5151846366087817,0.5329223265829559,0.5894036940890679,0.5940620826834662,0.26547618464220046
SkipAtom,0.5642335937898679,0.501246576386556,0.4771113385853821,1.0,0.6539974257888233,0.29024273573255527,0.5271906811331359,0.5760408513405436,0.5847010884089361,0.48115132958169127,0.3954443021704164
Oliynyk,0.8600963517236999,0.5579225775837166,0.5485634850030142,0.6539974257888233,1.0,0.37136514035668144,0.6147521163512288,0.6142492810182167,0.5293620589508641,0.4988308453813105,0.36521341226873416
XenonPy,0.2748278760128914,0.17178596020210996,0.26246780787053914,0.29024273573255527,0.37136514035668144,1.0,0.3274082551055765,0.3703648763220639,0.2994838505037849,0.22809408768655826,0.09763740111715223
CGNF,0.5590163677849405,0.3994978625459398,0.5151846366087817,0.5271906811331359,0.6147521163512288,0.3274082551055765,1.0,0.5888649700312897,0.5952072589284931,0.5322148922272025,0.40359410047802025
CrystaLLM,0.5203272305810318,0.5095680996699704,0.5329223265829559,0.5760408513405436,0.6142492810182167,0.3703648763220639,0.5888649700312897,1.0,0.5785319769971016,0.5374742964367392,0.19537583294839733
MACE-MP-0,0.4664052148840695,0.4326065637306554,0.5894036940890679,0.5847010884089361,0.5293620589508641,0.2994838505037849,0.5952072589284931,0.5785319769971016,1.0,0.7377670281507327,0.29935107497815794
SevenNet,0.46174106593553954,0.3786883732276776,0.5940620826834662,0.48115132958169127,0.4988308453813105,0.22809408768655826,0.5322148922272025,0.5374742964367392,0.7377670281507327,1.0,0.23121900538461082
ORB-v2,0.33631491972375316,0.23676388467278026,0.26547618464220046,0.3954443021704164,0.36521341226873416,0.09763740111715223,0.40359410047802025,0.19537583294839733,0.29935107497815794,0.23121900538461082,1.0
