element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
H,-0.08610635087023051,-0.0997527633342089,0.0451924468974419,0.0060323097763512615,0.13782690971646408,-0.007147699477070286,0.011675599233402613,-0.08917938729163355,0.02190502359687066,0.14726495991707733,-0.07202392920028886,-0.12043196560926524,0.14084978047470043,-0.021034302400998975,0.10534562867571827,-0.006810380765574556,-0.041679244986516546,-0.14621245893141563,0.030745692019607623,0.007260934424296324,0.036598723445739216,-0.0868538316640624,0.10422356466847968,-0.05083672669278197,-0.021124852831062937,-0.16389948555974368,0.04662130974862638,-0.09909075409894176,-0.1479596361979087,-0.0028038661995772366,-0.15215526992266173,-0.021924815238001077,0.01790693581167429,-0.2069724016249606,0.06094104826855934,0.06376766124706376,0.07214037247216933,0.03764613369746234,0.034318548971931644,-0.05918856090456412,0.03770398335536699,-0.03120566636304322,0.07067829369699219,0.03908250523720219,-0.15311362035854492,0.049858619487658296,0.022634144770753192,0.08623519484081865,0.0714960619394026,-0.07154979107441352,0.04917557195290162,0.07952769300329147,0.10685168812837423,0.10810108965194068,0.1197363181712462,0.023598028978991333,-0.07073321901784993,-0.039711978519948773,0.020515577786817316,-0.07035017272392888,-0.021308168486392755,-0.005815653953266132,0.01037069754618525,-0.007060462193260421,-0.07857748235151683,0.007236982480696474,-0.05856509385587487,0.0008331451633566368,-0.011216015358165422,0.007917968920742445,0.0078119349534295284,0.08980321917717794,0.0844452134952084,0.01984686159539965,-0.11604260413070894,0.06567310964045399,0.022029043004208104,-0.08567091459231689,-0.06160186415090437,0.018160017703018054,0.0568575516826905,0.019454472429644137,0.06076992036459676,0.08147693636632136,-0.05952424172959907,0.03556148928831259,-0.09202229598390921,-0.11643628327283732,-0.005108254814901718,-0.11582232660243705,-0.11080136095145024,-0.05885801365280551,0.03903548499738278,-0.02497086122503473,-0.07632822824675185,0.03220158049442222,0.051543432501815846,-0.1456265607272703,-0.03369369216877277,0.013801872218213544,0.1122200459402884,-0.1295818873533303,-0.21789044470417998,0.0636010413223606,0.01782092595180814,0.11125890663254014,0.043282034614307456,-0.014263261081036094,0.10539527252400736,0.040578385010562365,0.058907380217190636,0.06567169741401462,-0.05547117829236691,0.03207356433588266,0.09846489005329685,-0.015108183827413748,-0.021458483503160743,-0.01719967076347581,0.033478545245566683,0.10160910088335007,-0.13149956071710836,0.06846069945725203,0.003704960708802426,-0.07581965941330486,0.14982221482343486,0.020820033621233962,0.04293072524810281,-0.018151932748014826
He,-0.04338583491808949,-0.0855129632441958,0.04809119838746517,-0.026424452958534395,-0.10053190263698016,0.030520900552301975,0.03906734146288386,0.05932585061739696,0.016260242380961888,0.07255678404181062,0.026815103507813735,-0.023714276279712246,-0.04570969338415644,-0.08213147491423192,-0.011218024249282563,-0.024468242563291498,-0.043290589133770145,-0.0955915482694471,0.09345671528673981,-0.04751478422205901,-0.04327359211840106,0.07100536934313924,-0.008535163029343998,0.04358235289155518,0.04162674542211135,-0.1096784321573086,0.09736723479048162,0.036443132805234875,-0.050085040266050054,-0.004663652253073402,-0.017688632825204754,0.040095997753264105,-0.03196892196212545,-0.005779298047014514,0.0002523395474080222,-0.05575462780398721,-0.033403743690749874,0.05117072906922403,0.013236069774814362,-0.04081910484823037,0.03297858716394979,0.09211355814239089,-0.015194949738218954,0.01767363995801395,0.0038627444302681132,0.02596786907082723,0.032128644198657755,-0.03913775447007342,-0.08754173580255001,-0.10260741060699047,-0.0036498370116641457,-0.0165852176973268,-0.09815558832219867,-0.03290249564331833,-0.07978805929890097,-0.03561528180003656,0.03294159787458492,-0.009396300475054884,0.03859968641641018,0.007872206766801528,0.07661890330796564,0.06863174771022756,-0.04386246838254934,-0.10651371602736665,-0.0725798311035549,-0.018181136556055574,0.07234967087425295,-0.0276012960310048,-0.02013642641139374,-0.0816671971423577,-0.06743773343107623,0.033276532849175866,-0.033620717086793594,-0.010734574372445132,0.014600269747073904,0.013331589404001563,-0.06482192960101532,-0.013497825211410228,-0.052302313688477334,0.02476758374250083,-0.11858074881849219,-0.005081485969688369,-0.008264675372121886,-0.0030851245066584477,0.036699634896435795,0.06565396174574781,0.028733042854947245,0.027944413322569556,-0.013300264898350752,-0.08569681222822129,-0.012741046934924803,0.04569402059483263,0.014080892856839491,0.049649134403829044,-0.030519942624655107,0.040455143199821415,0.07434949294831097,-0.09522133472240943,0.0067217436340766545,0.10051334570510749,-0.08141632103672727,-0.0212295478893123,-0.004374026187794459,0.027688941725384317,-0.046117230143202265,-0.0023580936163291547,0.11228747786426377,0.027562829838626655,0.03388090457009842,-0.03516775891154278,-0.018593310521582886,-0.016661067202096435,-0.029151074619461752,0.010122069782387094,0.052420816547580365,0.0605201231201725,-0.041419429686699885,-0.04121670229545131,0.02449361809843796,0.022810030180421173,0.0014100059030927787,0.05103720972406568,0.024866596783722796,-0.04083202380270137,0.005214941824849736,-0.004186364167615736,0.006989032827677769,0.06664472669604257
Li,-0.09425251054964015,0.05658058678824829,0.07221824493475781,0.02716796645509759,0.13986372843784786,-0.05932027425691858,0.03818103635106815,-0.10239937133222975,-0.02821005878749112,-0.012562503108003685,-0.03529918701597571,-0.09654801869708207,0.24734988143159947,-0.02909359029694514,0.14289878316583982,-0.010490854888273232,-0.03982455804581081,-0.11897410458493643,-0.10431443626398258,-0.0078399026665704,-0.027983428609745137,0.005291914050795299,0.11515385763478293,-0.10828088492831782,-0.04399517284806892,-0.04553602282323328,0.006250439004181222,0.08052201488043062,-0.010199969002079225,-0.11896430128352323,-0.1553935180299556,0.0670491292487784,0.0971848321385206,0.011978162838575557,-0.04007334963536713,-0.0748073106369291,-0.014544576603045374,0.009599188186726823,-0.15078698229792176,-0.0419108253002047,-0.035685488070319585,-0.12694194009215112,-0.053476087686467756,0.008324436670793835,0.03532850845519174,-0.04565690232120951,-0.00792903056303833,0.11504482071304885,-0.01649128383766022,-0.028579375800139768,0.0016855183819128206,-0.08433730733378547,0.005252571873012887,-0.044642824757060065,0.07981528996325285,0.023945137303973994,-0.018952615849493714,-0.04639323099985401,-0.076812277115861,-0.06456828333081996,-0.03298057386078824,0.04187704355356499,-0.06165810113962906,0.09146495617160876,-0.08837861578218822,-0.012254571682282653,-0.05473969769208728,-0.027536802689359034,-0.019544659189128805,-0.044776012206907426,0.0815319773830807,0.03828217441878371,0.12253090071160301,0.025787832272976347,-0.09853693988881694,0.17627868997165227,0.03487961393523891,0.1306476378479732,-0.016903737012431537,0.06818686862565963,0.08364936115352892,-0.10526424407202228,-0.04150393226789798,0.030837597577806332,-0.044604233298009374,0.09934428936898518,-0.04373480376722171,-0.06604641254352704,0.08047006614743439,-0.028276498348789477,-0.03806105365218769,-0.03028861385605345,0.20142354374068577,0.0739088259381905,0.022354878948606945,-0.08174726065200116,0.03230226056373593,-0.1132126954515291,-0.045160876518976184,0.03081242254182085,0.03555267148852269,-0.038333739193246154,-0.06458383100879607,-0.01200163862794191,0.1476043996234558,0.1063873315609618,0.016728815574056873,0.009049289884318034,0.09094156357385895,-0.11002236853005128,-0.008172604788082414,-0.00920916343012191,-0.1311328280349267,0.10563516994529185,0.03942750769543745,0.017765659054615857,0.16611971155651084,0.03707149452529996,0.04851593404307557,0.06154219623623453,-0.015222770226107398,-0.0774888001939654,-0.032189862363917215,-0.0629385972254027,0.06570610434408068,0.03954927483588056,0.18320028807978553,0.016895378308863264
Be,0.02083631662768329,0.029621832420704677,-0.07989065373161917,0.04305444620077641,-0.0496337167908428,0.029402184209907496,0.00145887642028835,-0.1274455399742375,0.40385315095489066,-0.02815109509342923,0.1868796654628584,-0.027644824839402494,0.02779447261219601,-0.12130098274341727,-0.0632700860374882,0.035452030987809004,-0.1514722534814435,-0.13479889736814296,0.0406229903266172,-0.10959199433827806,0.15915190086030967,-0.04988969623310014,0.028887110085200726,0.09052354189337303,0.12193602469443145,-0.21404717838182782,-0.011628250697817777,-0.02763578368626181,-0.09176985567655083,0.009266929790809496,0.02133663946276595,0.12005177221392019,-0.02094628658770039,0.047116901135305145,0.19763809056196294,-0.06619422492822828,0.009084991816604554,0.00207767655597458,0.1013407290657042,-0.06981939441363463,-0.03511616907609423,-0.03769854424382186,-0.00016313622520249384,0.17309798272112203,0.0630841361105041,0.13347627436756107,-0.04487936437496782,-0.09217380962234732,-0.01490843566665042,-0.14779047645580978,0.09174093198016339,0.12499794892161002,-0.10378541100637761,-0.059121743331336275,-0.01563641932483926,0.006617674495977967,0.1781448013254951,0.030514535229835982,-0.00266086541084873,-0.20109172701236655,-0.05613491117461118,-0.029620878703769518,-0.04108861636382192,0.06458858888770426,-0.036533847031381426,0.049286327213518236,0.06954854654213416,-0.1533637195508683,-0.05225635356618554,0.025410547936416564,-0.09512993016644182,0.06603918685481565,-0.009704464548732309,0.019237409053786188,-0.003069315329404982,0.03887108161245836,-0.1440925049655349,0.08958083738831132,0.015587844757466251,-0.06348809239124617,0.019090598234080516,-0.16712655789259592,-0.06759597901673944,-0.26045359483565034,0.03675775465710514,0.06548000122094992,-0.14023832853271515,-0.12440604869369784,0.20810617560510433,-0.03991541214128331,-0.02085657099785039,0.01059155400297625,0.028198983105274807,0.11808370635907994,-0.11792186564445732,0.045549255431627404,0.180010912605233,-0.1574530615890344,-0.010436476886148887,0.07321797004221368,-0.056829397065268544,-0.058058893876489874,-0.06604743673773582,0.003934626636395691,-0.052875394725417635,0.22369039626800083,-0.002806562395594323,-0.07989695386736279,0.11005336135250682,-0.1140367470185565,-0.0820118872036543,0.07784305768143976,-0.02473603808839842,0.10517981151592613,0.15570573981155694,0.03992436635876806,0.1309451850477935,0.03688696258322496,0.05364947333898256,-0.16721168256516583,-0.15776531281349077,-0.0005822405402725357,-0.03885059141994794,0.054034506979541284,0.21803781165471306,0.05613519830404987,0.15008086894484943,0.016605940984426686
B,-0.1808995626154997,-0.03900786534751038,-0.13501509894845898,-0.00874512391079832,0.07286489285103577,0.09796580473106782,-0.03534984280409369,0.034700685065020796,0.23176538387933215,-0.0989989829642704,0.06319920365002572,-0.16949959124966024,0.08329076057382326,0.06938186454125922,0.03453093864461786,0.01047290256409451,-0.1026421968203379,0.015041081508440437,0.05244570006284448,0.03638508411694977,0.25367540645821046,-0.08878691977050196,0.08895706840330031,-0.11641718244316047,0.19957264897802465,-0.4578371151680071,-0.06194517128323073,0.19243875590274714,-0.1415289016162165,0.12955610595845202,0.18675741732911474,-0.03629696848098162,0.12757057635995658,-0.12897870772513853,-0.04567875258197795,-0.1725774759219253,-0.10903539681169835,0.12923822403715546,0.061205511612340044,-0.1771119379851232,0.06410910459449129,-0.04563297773368343,-0.03255673206203111,0.20407595977029114,-0.1324726355648078,0.04721264655665702,-0.06247767169867309,-0.002348575820296538,-0.0669726713006943,-0.13681945455923245,0.060785508664668704,0.14827967519589524,-0.08251987432682105,-0.16030649106656536,-0.16590032663636925,0.04360684031461453,-0.1043016875094103,-0.1908321399868841,-0.23123506767989777,-0.08860470555612691,-0.0046082711258348735,0.05561959451053553,-0.2200950083329259,0.05180968098996315,-0.011117574028349246,-0.10901679689789749,0.012525927621482347,-0.004989573873460067,-0.06970654575955146,0.1076797409369666,-0.09797634761195637,-0.0434989207691279,-0.04046639148038623,0.2274463611797157,-0.05524666204118314,0.08089622723260805,-0.12369214771158663,0.03504154598614031,-0.04114315109704073,-0.08199634928275173,-0.02939674528892986,-0.17410916565231677,-0.20565882397376348,0.0013787044285407813,0.1061233441739147,0.10194725537744856,-0.21117833648549708,-0.10613342685556276,0.061732504444424526,-0.06630690565092573,0.04181725273784904,-0.12517873417095682,0.146449818289366,0.03127900171194718,-0.19223076648981055,-0.06842986646709362,0.4420373614589065,-0.048960242799308745,0.14146566643420244,0.12707328393713935,-0.08047338490180755,-0.0051251978132565035,-0.09412547142507907,0.2650461879416374,-0.01221447033356024,0.12142793303413615,-0.10174880831224413,0.05984965961003833,-0.1282863249526902,-0.02156289726112841,-0.03089191075962157,-0.03576406900711247,0.16872278008380115,0.1286651016323829,0.19208028757765735,0.12257293459826632,-0.16409729080595734,-0.038309130316526746,-0.12505692800162332,-0.006367978903589658,0.008398259732194643,-0.09730103967867045,0.046941411847781875,0.33664059061645785,0.30780151601357497,-0.16264316202405832,0.26590597259951515,0.26584604933076567
C,0.10127688859757532,0.11019809689308621,-0.17965025734353537,-0.04153642937884633,0.19628727915605418,0.03212533602080644,0.02452355070876197,-0.027347082265085622,0.10914914098731597,-0.029456957072279143,-0.06507576452030672,-0.12409135056331091,0.2356534048552007,0.306698387112512,0.23526941356223013,-0.09814460881167097,-0.0058785085777253564,0.03996610964236633,0.0004894396340640608,0.16427822084866806,-0.09906149400837663,-0.03985834219723963,0.04266414297759653,0.02061710002094648,0.019359934074911506,-0.13537492802580806,-0.10572022176557364,0.11063895575796029,-0.0661313794509713,0.027057260342714343,0.07929685620425446,0.00467892068397672,0.22107635933124667,-0.27781328786857795,-0.1838623075131741,-0.02815565666888755,-0.15176252375442903,-0.0627361319469188,0.21067788249877029,-0.005768816113789527,0.1315462036576077,0.022446604920252886,-0.06726936346856693,0.1342879241904985,-0.1716105989398204,0.032961138067045766,-0.08778508156438165,0.16858896720446992,0.1423381199423466,0.053194709807403824,-0.06875780556542949,0.11301397815116547,0.12531858060652507,0.12102320271363912,0.006991589892160155,0.024335183731625038,-0.0803587112231306,-0.088922730111604,-0.08822589714162715,0.04876955384549941,0.03567752150371303,-0.04123523729092302,-0.12487412415869964,0.19442590292407716,-0.05694018384328345,-0.12400829648818469,-0.025706788727964325,-0.12062620504628718,-0.0003227866693654856,-0.12660191526394762,0.12023696263523606,-0.07063540865465286,0.039676249955858695,0.19787303739111567,-0.15935182048720922,0.1502622427873224,-0.2822497899155756,-0.015492663492204163,-0.049876175740859265,0.021308000549691907,0.12409690448868702,0.08368317330353095,-0.1262127048610872,0.15701437887464503,-0.05111888205909179,0.07359662008102337,-0.10699059274295637,-0.08005530968990544,0.10585712675904897,0.0013038149424800375,0.09672509826845344,0.1704394387906099,0.02543497809736197,-0.024120347457806245,0.055000774171897394,-0.06957814322486261,0.0768073055483116,0.05446497129291608,-0.004823908254138664,-0.292674305276302,0.1180320883964174,-0.06301866734288547,-0.1525860118998142,-0.00817729869149776,-0.057440697324631244,0.12213664180706298,0.054884116866350585,-0.058689062626276954,-0.14514857014840632,0.10096484326070046,-0.02865518833734972,0.18054251854062706,0.12535818586194783,-0.1733665843912963,0.059928102359315394,0.2855898170155029,0.12052495221415985,-0.023956084186611343,-0.2785280261732295,-0.20405933623278316,0.22904470070824628,-0.09359074026001485,0.18970601370944487,0.17449955721805935,0.038683403171357544,0.10104008807615113,0.2570854041944799,0.10844297798628025
N,0.06380577032722923,0.12366402437056315,-0.05765484912376615,-0.10299645243089986,0.22899304048069774,-0.17519654414150693,-0.17570019756628893,-0.001332880061460646,-0.06999722066917698,-0.008833219021633974,-0.07187085248731315,0.08739397621319935,0.15788090797145585,0.08544777928105506,-0.10702104270868608,0.018649385386418537,0.003314313291100594,0.1410130768311418,-0.16570750372836385,-0.06546677773499983,-0.0899490386485197,-0.07857669197677543,0.11136252587998184,-0.11998115791774895,-0.05261543991664953,0.3360524067082757,0.0010027457842601464,-0.012752691366226952,0.030401273656345405,0.025324523079163087,0.025831147900307088,-0.15339233275023229,0.3025116888163222,-0.026833375538400272,-0.13869824553816007,-0.17287075681304923,-0.06619753224259012,-0.05954791018870866,-0.014904477928736587,-0.06912579553022169,0.07521645287601274,-0.03887294399442163,0.06606902189307756,0.0014162641544611697,-0.2461810789071415,0.04601288166166557,-0.08581501943939514,0.025223836811258903,0.04776040567602734,0.03712335648575006,-0.024396304490418366,0.1400686538841318,0.15558131633924674,0.27739661301567375,-0.05134333088822945,0.1335643100277476,-0.4118764900853222,-0.2858139399464077,-0.23945142687979173,-0.06985837339287304,-0.08641559085733588,0.09449166723957882,0.11651111258794092,0.5237688626939249,0.0694148753315286,-0.02497145259072569,0.013731243904221683,0.1732497334158411,0.04243752319474713,-0.2791330207878257,0.15815712215057176,-0.04076074926800949,0.10057505906698194,0.08855351053406894,-0.12752415133068,-0.08194200240256305,-0.06388208189019409,-0.01426713908516927,0.03892317245641809,-0.03569414967394098,0.3618574655104434,0.18545493974075775,0.21037082472900426,0.3062543321322857,0.029304106969011662,-0.01923151082799829,-0.05344214637147341,-0.16602101301611566,-0.020212203938750988,0.04141389891956657,0.25321999891342334,0.12435642201107293,-0.3764436662875771,-0.06116871689554879,0.0656399660644926,0.06577301170926561,0.04311142239241414,0.21516858206975867,-0.028032930771426896,-0.26968446319513095,0.035027637177701194,-0.05940453346870471,-0.08167636823823811,-0.2001500767774699,0.2319996094444392,-0.03880094698035888,0.08410971345702471,-0.006944485892959117,-0.008452260333941936,0.05643589344226774,-0.013619720241893436,0.07834853295976438,0.13883940593120814,0.005606008489195958,0.008554748386281444,0.06327964874590786,0.16244035198038864,-0.0803293999030307,-0.27200229166557527,-0.1620394547773615,0.23499391639136197,-0.09106800288404533,0.1703497431194981,0.24219626217277704,-0.06120310280379268,-0.012158114198709479,0.20509490185694626,0.0947738593307558
O,-0.040299172630132225,-0.01609132491823022,-0.06437906225599792,-0.06701130543361726,-0.06102210581541548,0.04958759308313598,-0.20028929585494937,0.16331613732071248,-0.05498732576253119,0.027021394443314993,-0.010429299137134558,-0.04715154726511457,-0.02887975802895289,-0.02737608094903869,0.04143356284280226,0.1130357883675486,0.05761519300719491,0.06273665074669765,-0.046859581505854814,-0.004657163731700633,-0.1181625465535303,0.07417205219805671,0.04892207852844514,0.11698932006206066,0.04429503537236153,0.1280914096726526,0.09795040509576143,0.05377910320393127,0.06902835576292532,-0.01458945771423905,0.10634961250719778,-0.168476456817906,-0.06599438421630169,0.02745013322366036,-0.01206647033743189,-0.05541703013826169,-0.21940625833222807,-0.09569240762035115,0.03850729543538993,-0.11049401507131124,-0.04400563736779958,0.16430346326403011,-0.03845590050654115,-0.03146787972813581,-0.20213302324583732,0.11265982882563229,-0.09522774960286286,-0.01938737183200558,-0.04251055772270377,0.027226603848497205,-0.04431186362995668,0.2122134333340882,0.26251528527506596,0.1370811148525879,0.07508525862690736,0.03894448695597387,-0.05121095621094169,-0.13818968567842288,-0.0468389847630764,0.03301536570035972,0.06615335573776325,0.05576712318213211,0.07521192506123549,0.03478624649373226,0.01302640194871183,0.1114882576290052,0.11770794295854416,0.0029128463347416725,-0.03827824654756613,-0.21291228473012147,-0.03268875211263342,-0.050922439063309996,-0.12819219461263381,-0.10357743100564977,-0.0808639402872239,-0.23725696388911616,0.02383176488030526,0.04942143446957655,-0.013873740538093584,-0.12761850320697415,-0.05894617751582044,0.11967559951121738,-0.01980202332671944,-0.00139819898835716,0.053203942570864804,-0.03404881918994362,0.03956396809759967,-0.03836655350282163,-0.05784731447644825,0.0791919388378041,-0.027432608273194267,0.09701937187254321,-0.1678535202830452,-0.1448362415989408,-0.1522637616196916,0.024047250777624624,0.0063948766193849945,0.023288921280877874,-0.1126429756801422,-0.07896408491471846,0.05689921724950816,-0.00468354315583915,-0.05789860084071705,-0.11054737824067656,0.20956821559823618,0.16436978001490118,0.09546793849282015,0.06268708560071115,-0.04185602106188466,-0.034318907281976084,-0.053049594642740505,0.1230397004467921,0.060325748706148645,0.03588230677210749,0.018565182497367817,0.016109946078835098,0.11072862113072598,0.008234116650207854,0.11695972912796938,-0.14180686225961942,0.18378207144599853,0.0943989134681416,0.00829735058276915,0.037908385943859535,-0.009184345989767983,-0.14870629261628118,0.03415400329887326,0.05227307706599427
F,-0.06551714308586519,-0.019111175538805442,0.002622155044812259,0.0043254359973754096,0.03752183020947589,0.0941283608803421,-0.08949217905598199,0.08431472033788086,0.019901992072653096,-0.018892214189417778,-0.03516115773886564,0.06130561173471932,-0.0017588198335083964,-0.12651510990101386,0.02001794250799402,0.09681303601191169,0.06890602939537953,0.05696716557174074,0.0041224863290570644,0.011476755265217334,0.018227694494643325,0.14290147450939492,-0.03125222686570121,0.15689862449557945,-0.07931276692738973,0.07867140191904434,-0.03490447445174267,0.013593845747470064,0.012431426550947212,-0.02250418438043814,0.03650298492975586,-0.09171278599491284,-0.08116233387858349,-0.011227135183114892,0.10067819338346096,0.032137145768463396,-0.2852187986193132,-0.07494172511968995,-0.016630934353564802,-0.006437905024626257,-0.053016556042982485,0.14626003091234477,-0.03454343949344312,-0.2114734202777946,-0.18110052090139087,0.003965651093949302,-0.14144223905878134,-0.05427306446085275,-0.046308205760089635,-0.07398432179680572,0.02142706437497967,0.19613930706802765,0.19914197468477232,0.11554412793731325,0.014437336915325666,0.06418069231553111,-0.04871544952048337,-0.05517933442010164,-0.07933121984997461,0.10565624641479467,0.19094799380311217,0.07544986371975981,0.1613997595068806,-0.001065501841985936,0.014469500756833578,0.07147693461243088,0.13978988639096715,0.06821745094116326,0.07299951665204382,-0.10416362291674329,-0.10186351509923403,0.06783032570903486,0.06533738866417767,0.014163587815492536,-0.0635615374635453,-0.0867256183148624,-0.014152530055757683,-0.0333427792235403,-0.13503458133774102,-0.1278161407040143,-0.07239493724851585,-0.01883690369167807,-0.05258139009579948,0.03462580398889636,-0.043003537280111866,-0.028680789865436238,0.0007507101306091802,-0.02276570532832288,-0.05822958217698231,-0.05352602207985084,0.022281685446755743,-0.013020516176094798,-0.07266550301147442,-0.1162592841327287,-0.1135061470874724,0.05601069148101443,-0.03663617855152858,-0.06550900238076326,-0.186629868983156,-0.057891569434004954,-0.019521995617693914,-0.013250159850071426,-0.11841302408356497,-0.0986419997265472,0.16681386235036577,0.09908555663215723,0.10682616999428078,0.11398314974049487,0.01859975331617811,0.03379739550642741,0.11923547068414041,0.10835995803830625,0.02969351683767838,0.0007377318579125656,0.03667221396750938,0.030784076975432388,0.08075256123748716,0.012711215203831706,0.030378788254522778,-0.07184563657605994,0.06222212035166608,0.0779754596240756,-0.03100343728410425,-0.04240237525429253,0.05872711659952362,-0.2986282954031414,-0.05949460529246458,0.18418878768125815
Na,-0.08107395351748821,0.0024697380851319505,0.17188714350053905,0.056846605563186686,0.11310974533243769,0.018319236799115186,0.0891230019135114,-0.02986621335816348,-0.047877505249354545,0.002113206521907162,0.014130749214927558,-0.18893063607752478,0.15478547013847058,-0.09662000942657721,0.11844518684529177,0.0317604658424168,-0.084229941907415,-0.10040077499410391,0.008190682031822981,0.0033237099923817434,-0.0829051776252017,-0.040429988142008384,0.019616369229332284,-0.03564238043394919,0.03416157512922417,-0.036799304162737856,-0.08400194338137092,-0.12025012503169316,-0.05743897273001162,0.044486842655512226,-0.05604757833626666,0.07878353690259046,-0.12895442249206682,-0.025620478908812333,0.08467952284521782,-0.06047639448244412,0.03897986784404784,-0.03886328308120492,-0.026444926253732685,0.04090028341345465,0.011057568671229546,-0.18578116733611094,-0.145734219686274,0.04613322174755582,-0.14672879221817964,-0.08055623206902805,0.09958038915541427,0.09426650358728617,-0.019814808430066923,-0.03439783939208215,-0.013162129963166163,-0.10459720651351323,0.038175762305802476,-0.018616434990568805,0.14993899010002507,0.012849616406026762,0.033424932277797775,-0.11022943292164127,-0.05608717441682996,0.040956612447177555,-0.05673717635014596,0.002141153929243857,0.07868764023605834,-0.008047069030336966,-0.006106355612694771,-0.04323391810519297,-0.03932137823933126,0.04717084586879891,0.09036732586461024,-0.07084228063334794,0.025103388614089225,0.007346975458002338,0.05229213908476479,0.05810946105483852,0.0903561264645826,0.04032305817217088,-0.00967994580338234,0.05149531430444566,0.0006867584685757279,0.126168987358241,0.06432644571975726,-0.030095998074015508,-0.02918708480479008,0.13165648689057988,-0.08617677491433164,0.07857337959489143,0.012871244585074264,0.03722572955138158,0.17653761312276342,-0.029980337135105613,-0.03262094173069369,-0.03136903291380785,0.07130602431296915,0.06027163200878815,0.06604232792505257,-0.07477436788375194,-0.03991011763602985,-0.054561758571517516,-0.1182029018482287,-0.02478564059249212,0.10815909826006874,0.014462940700353408,-0.13713463561474523,-0.08592582607959416,0.1170484748495984,0.07057096758406724,0.03312031867912423,-0.021564904136270827,0.027694201096956667,-0.09458105787670024,0.043760841406766095,0.0222755421697843,-0.046461071560078865,0.030579210326504538,0.1640964075120132,0.04532822200524246,0.04177971227157596,-0.05516561473350418,0.06772519835878524,0.08332471821727641,-0.14021056520046088,0.02023560293225143,-0.07335934549669383,-0.04699547495415452,0.18081172835646617,-0.06467607528516205,0.14152950103657427,-0.009980169090139657
