element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
H,-0.37788326,-0.08159013,-0.42279607,-0.3544044,0.6801662,-0.365981,-0.3479694,-0.08519529,-0.11480078,-0.15852526,-0.1617107,-0.40729186,0.5225901,-0.39452747,-0.27535555,-0.26137018,-0.36901996,-0.39115602,-0.40322018,-0.3338622,-0.4202644,-0.31059766,-0.13507928,-0.41255775,-0.4279299,-0.4460962,5.195544,0.011671553,-0.3278698,-0.37859952,-0.41864428,-0.43641472,-0.42299178,1.6060039,-0.3984664,-0.4238048,-0.36378267,-0.3242987,-0.3892826,-0.43368807,-0.10174014,-0.3192322,-0.34430906,-0.10580703,-0.40180936,-0.34206587,-0.40718573,-0.38487065,-0.2227864,-0.24583553,-0.39032316,-0.4310184,-0.4347471,-0.36084068,-0.06705444,-0.27181566,-0.17716224,-0.23464979,-0.2875496,-0.24968573,-0.38687998,-0.41828454,-0.42247328,-0.26310983,-0.07121374,-0.29373577,-0.42555323,-0.37132898,-0.2907336,-0.4306407,-0.44326988,-0.33140278,-0.18182287,-0.3744908,-0.35566014,-0.3940974,-0.33354223,-0.38008472,-0.39985597,1.1403928,-0.4167125,-0.27697194,1.0009934,-0.25378683,-0.08944143,-0.3509354,-0.38109714,-0.37796193,-0.35554323,-0.34000808,0.3621259,-0.43777817,0.46684977,-0.089886606,-0.41273117,-0.36698014,-0.3698651,0.22814937,-0.37108335,-0.1948099,-0.29659447,-0.35485792,-0.32068458,-0.39996886,-0.04924831,-0.23356377,-0.30128986,-0.42074025,-0.057467878,-0.33889705,-0.35492873,-0.41805303,-0.115421444,-0.37851423,-0.32650825,-0.2924717,0.47565308,-0.28046912,-0.25311634,-0.3580314,-0.43283117,-0.3431437,-0.3841505,-0.39903626,-0.4123033,-0.37431568,-0.39324507,-0.13416955
He,-0.15748821,-0.19194356,-0.32822227,-0.35015136,2.7128367,-0.45481354,-0.14266121,1.4270775,-0.30825955,-0.46185237,0.33303028,-0.3938231,5.295619,-0.3745098,-0.4016146,-0.4589394,-0.4592718,-0.19934246,-0.2892292,0.5164733,-0.44341987,-0.30577,-0.17858535,-0.4466575,-0.36850628,-0.43093872,20.015062,-0.36859572,-0.45962936,-0.46058184,-0.4418494,-0.28882116,-0.4212557,9.324399,-0.38764256,-0.44736734,-0.44347537,-0.14050147,-0.26968634,-0.45042512,1.0108817,-0.36816633,-0.45451427,-0.11579977,-0.4614997,-0.21565963,-0.4288007,-0.4509171,-0.06312178,-0.33673084,-0.09392132,-0.4607956,-0.430692,-0.43642446,-0.44723713,-0.45463073,-0.44752514,-0.060090747,-0.41988257,-0.16016233,-0.34031537,-0.40408868,-0.45430285,-0.3786046,-0.32624516,-0.46753365,-0.4164285,1.9741075,-0.46540892,-0.39304483,-0.42611295,-0.43865538,-0.45957428,-0.46108156,-0.36519623,-0.43313628,-0.23205,-0.4476139,-0.4415937,2.6656075,-0.38386622,-0.4363636,-0.3338265,-0.15034501,-0.31378782,-0.23999557,-0.38416296,0.12270826,-0.4252262,-0.2838269,-0.2975044,-0.21374032,-0.11281406,-0.45914704,-0.33926028,-0.42689836,-0.35831982,-0.3124298,-0.3446173,0.75419605,-0.43491158,-0.3815546,-0.3538536,-0.289894,1.1856067,0.47844052,-0.12141737,-0.26930547,-0.38603786,-0.31089538,-0.45570514,-0.40418744,-0.08572836,-0.40958774,-0.33406734,-0.052128986,-0.43080628,-0.06523728,-0.3423426,-0.2207176,-0.4455418,-0.075888336,-0.3553092,-0.4345834,-0.31905138,-0.46692455,-0.43444237,1.6331317
Li,-0.09942777,-0.11633861,-0.40634134,0.1017726,0.18732686,-0.3530278,-0.35839692,-0.18970011,0.055918608,-0.32059053,-0.25815305,-0.42417818,-0.36574325,-0.2850445,1.0003154,-0.2769536,-0.4063603,-0.3110128,-0.36785406,-0.15703328,-0.3798053,-0.20924856,0.0527143,-0.33330026,-0.42523524,-0.4295653,1.9501017,0.8543185,-0.17884083,-0.40076724,-0.27712,-0.33474952,-0.2005389,-0.036093093,-0.31854752,-0.403121,-0.20189969,-0.12588452,-0.40204215,-0.41893858,-0.35387516,-0.33362705,-0.30973148,1.4052126,-0.3629376,-0.3197093,-0.34952286,-0.4243942,0.2993323,3.1647258,-0.32904202,-0.32222146,-0.39529034,-0.40640655,-0.289812,-0.12032005,0.5784275,-0.04017252,-0.19027987,-0.066042095,-0.35556868,-0.40836334,-0.35783094,-0.21491294,-0.3740381,-0.24167082,-0.43142006,-0.26966566,-0.4302372,-0.38435215,-0.40437347,-0.33667397,-0.3185248,-0.14565086,-0.27450773,-0.4033889,-0.17717698,-0.23041038,-0.4109629,-0.259578,-0.32030272,-0.3207526,2.2708757,-0.22107589,-0.36689922,-0.39736736,-0.1568781,1.3798289,-0.13447335,-0.39223948,-0.12559995,-0.41602796,-0.22953913,0.73003334,-0.32885864,-0.35722584,-0.37550223,2.376678,-0.43982938,-0.3031133,-0.25708407,0.20401087,-0.36524555,-0.40916872,-0.27594417,-0.34337232,-0.31285918,-0.4122363,0.17598702,-0.28369978,-0.40931448,-0.22978105,0.6817434,-0.3627494,-0.24597518,-0.24449734,-0.22632182,-0.12319149,-0.2637895,-0.42874497,-0.2005507,-0.37455812,0.14085546,-0.30282408,-0.3777973,-0.24983756,-0.18633586,-0.07479986
Be,-0.41728795,-0.12988713,-0.41355708,-0.12607794,0.87616915,-0.22360276,-0.24790615,1.3068902,-0.40651202,-0.14489232,-0.18100238,-0.36985397,-0.238848,-0.3988458,-0.2380695,-0.3822386,-0.35977995,-0.24015582,-0.34319943,-0.27354488,-0.28863525,-0.34588206,0.1190871,-0.30205828,-0.3922265,-0.4179082,7.1637397,0.5080557,-0.1708796,-0.42087686,0.42255715,-0.38889942,-0.32420802,0.53003097,0.28737023,-0.37429073,-0.36435536,-0.21442406,-0.36477247,-0.10243025,0.055918373,-0.09942939,-0.18644074,1.1327087,-0.13313594,-0.21897641,-0.22098869,-0.32104075,0.1883689,2.572924,-0.25784045,-0.29294303,-0.3622341,-0.33156127,-0.41949823,-0.3502158,1.0561984,-0.3562836,-0.3386313,-0.33298084,-0.23930162,-0.33834758,-0.4180693,-0.3298431,-0.108721144,0.18200625,-0.4150567,0.8016059,-0.23839496,-0.30490544,-0.38152316,-0.40274173,-0.10984294,-0.28504002,-0.3139462,-0.3250509,-0.04895163,-0.40577745,-0.36840552,0.7125189,-0.28032294,-0.38167682,1.3747418,-0.36046296,-0.37830848,-0.42488268,-0.4036867,1.7914405,-0.33992428,2.06514,-0.12935235,-0.41984147,-0.26086986,0.32531944,-0.42416874,-0.4172117,-0.32297587,1.4943491,-0.37016383,-0.3090148,-0.29196808,-0.18668143,-0.35789526,-0.34637827,-0.34994936,-0.4222618,-0.35822672,-0.41229275,-0.06263242,-0.39524776,-0.31668895,-0.36181247,0.54283184,-0.28888258,-0.23891081,-0.28314963,0.34977004,0.11055591,-0.3620408,-0.3831101,-0.3168949,-0.30405474,-0.2890937,-0.32347572,-0.42142838,-0.32494688,-0.33335745,0.22801751
B,-0.36892578,-0.15044022,-0.42838752,-0.2143983,0.533147,-0.40756685,-0.33918634,0.45126733,-0.27716634,-0.18390363,0.0737333,-0.3746131,-0.04564613,-0.3632161,-0.29554465,-0.2680075,-0.09952169,-0.23714966,-0.36590976,-0.16168275,-0.3043669,-0.4023551,-0.08955042,-0.30032,-0.37885582,-0.2520046,9.078033,0.15999675,-0.27740505,-0.39998195,0.34295633,-0.35560107,-0.3435842,1.4932532,-0.257549,-0.41543457,-0.36978865,-0.23807605,-0.33952513,-0.23972628,2.6608536,-0.17199855,-0.20201643,0.4394929,-0.14044186,-0.24236754,-0.36102706,-0.3760674,-0.14693101,1.1289397,-0.37749964,-0.3808346,-0.37740394,-0.34321415,-0.2821379,-0.40758327,0.0038126665,-0.32773003,-0.39917794,-0.31576034,-0.29410228,-0.222972,-0.39252374,-0.26965666,0.3423619,-0.1619734,-0.3909397,0.074059695,-0.30627382,-0.3850168,-0.3429618,-0.38268322,-0.34781995,-0.29269537,-0.25782293,-0.3230477,-0.24681316,-0.42337748,-0.27393696,0.92172545,-0.3653696,-0.30720305,0.03634482,0.016583573,-0.23012963,-0.15935482,-0.34743187,0.3937065,-0.34065711,0.5906076,0.88112366,-0.40854073,-0.30392578,-0.07197733,-0.43350795,-0.22902976,-0.15335496,-0.046683874,-0.37757865,-0.34408712,-0.34779048,-0.36848804,-0.30907282,-0.2868787,-0.29318446,-0.41538098,-0.2788785,-0.36874568,-0.050290022,-0.31247622,-0.20740318,-0.3809936,-0.12283855,-0.33454046,-0.35339397,-0.2752637,0.21431613,-0.30425456,-0.3596342,-0.34947672,-0.35876474,-0.27429983,-0.16216746,-0.38466853,-0.43468156,-0.31273988,-0.39421704,-0.054840475
C,-0.2473896,-0.13687514,-0.36470464,-0.031162474,0.13411547,-0.31196284,-0.3355267,0.12817541,-0.047910776,-0.21110703,0.21167655,-0.3348996,0.7026086,-0.38743362,-0.28572613,-0.37370455,-0.08300199,-0.28812006,-0.26725793,-0.3488994,-0.32127792,-0.35810196,-0.3833214,-0.37663293,-0.3367549,-0.32944053,4.698596,0.7849596,-0.13401732,-0.29329434,0.4772648,-0.4094983,-0.35042575,0.5658841,-0.30438414,-0.38391617,-0.3427866,-0.28611058,-0.25148425,-0.2540678,2.1558328,-0.26650092,-0.25974667,0.10192357,-0.23310347,-0.09557544,-0.16020991,-0.34718063,-0.020813828,0.6482789,-0.24392413,-0.40789214,-0.31232002,-0.2954407,-0.116238765,-0.2695108,-0.29190096,-0.13978352,-0.3207313,-0.21239048,-0.34674218,-0.22388348,-0.19611906,0.9028437,0.7233188,-0.26961836,-0.34588632,0.55713654,-0.12674668,-0.3130445,-0.24924505,-0.33337855,-0.25576928,-0.34639037,-0.31328166,-0.35586193,-0.04654993,-0.4272368,-0.24212714,0.12692,-0.2752036,-0.32851332,0.10561255,-0.16115604,-0.10200396,-0.14735718,-0.30861413,-0.057715517,-0.35551825,0.5247475,4.021041,-0.41158146,-0.30509865,-0.14111575,-0.39245337,-0.22118466,-0.17802109,-0.17829576,-0.4097597,-0.3303624,-0.37553784,-0.4194119,0.40476066,-0.3312248,-0.029817678,-0.19424418,-0.3629912,-0.38436994,0.11106313,-0.31897518,-0.28185874,-0.3617735,-0.14080751,-0.32822073,-0.27452105,-0.3271093,-0.23701121,-0.26598176,-0.20368342,-0.40733173,-0.33690742,-0.32636824,-0.23370157,-0.36091912,-0.3888114,-0.14857742,-0.3830776,0.30154675
N,0.3027956,-0.23257257,-0.39267766,0.59006333,-0.14627297,-0.36404523,-0.18269528,-0.0335495,-0.11239834,-0.37469333,-0.022264507,-0.35615116,0.43949264,-0.29405433,-0.22903633,-0.28067976,-0.15691465,-0.28812662,-0.27469873,-0.40617102,-0.34977913,-0.06141563,-0.3918824,-0.35118222,-0.31129277,-0.30946228,1.9825019,1.5191352,-0.27456665,-0.07954814,-0.1559187,-0.39304236,-0.27117452,0.045336105,-0.3600656,-0.16627894,-0.36944494,-0.39297026,-0.17951766,-0.33910137,-0.24462865,-0.32592586,-0.33373427,0.83598727,-0.33998305,0.1903892,-0.20454402,-0.28805348,0.96845335,0.11817297,-0.34410247,-0.36001623,-0.0031810543,-0.3201109,-0.29757243,-0.36613622,-0.20178583,1.8802702,-0.34366032,-0.22796501,-0.34938857,-0.33959195,-0.23666851,7.0416956,0.5996332,-0.35455596,-0.25861657,1.0223882,-0.28612924,-0.355594,-0.3986484,-0.12907404,-0.34583464,-0.29642853,-0.36001557,-0.38908273,-0.2661083,-0.38689357,-0.34629104,-0.0144677805,-0.35699993,-0.28406468,-0.2424775,-0.32862893,-0.14925449,-0.3595424,-0.25147545,-0.28038,-0.36439702,2.3624928,6.856372,-0.25931442,-0.14819628,0.09815062,-0.30437455,-0.31700924,-0.23643512,-0.29902446,-0.35859516,-0.1469016,-0.3783744,-0.38713595,1.0372717,-0.23099715,0.43652126,-0.21980593,-0.33222836,-0.27327272,0.63145125,-0.3514622,0.116976544,-0.25393417,-0.08070332,-0.092173226,-0.11030716,-0.32687986,-0.12319956,-0.11217331,-0.36424366,-0.29723397,-0.38361907,-0.012196512,-0.094183594,-0.35998094,-0.26516375,-0.19150642,0.019220524,-0.20420657
O,-0.14199367,-0.23799655,-0.21855515,-0.24420032,0.70206666,-0.2063625,-0.39797232,0.017309984,-0.05873756,-0.08601671,-0.36089683,-0.08500016,1.2461355,-0.2304003,-0.21666072,-0.16422199,-0.039143626,-0.34287015,-0.16567919,-0.2179344,-0.34609106,-0.27407414,-0.20246643,-0.2066828,-0.31482315,-0.33555406,4.4827228,0.2687903,-0.27514708,-0.32387888,-0.31896862,-0.14990889,-0.31590617,1.1512889,-0.086218745,-0.42663202,-0.2445478,-0.3371575,0.030655824,-0.26803422,-0.1251874,-0.35748458,-0.26788726,-0.14081857,-0.26352236,-0.015165058,-0.25940463,-0.08447069,0.23840284,-0.28857723,-0.18537445,-0.22792444,0.026163364,-0.2380243,0.1507561,-0.3407994,-0.39592907,0.0677596,-0.30749798,-0.3324237,-0.27324262,-0.21500741,-0.23299131,1.216762,-0.3220951,-0.27502164,-0.14083788,0.859463,-0.12999731,-0.39182568,-0.38259554,0.11354032,-0.105343744,-0.41461396,-0.02974585,-0.2310283,-0.39342228,-0.16134933,-0.28526008,-0.17386189,-0.26649052,-0.15339884,-0.403229,-0.11190571,-0.13979006,-0.30055064,-0.42729333,-0.31412318,-0.3019958,-0.047989517,1.4917351,-0.14844047,-0.23946972,-0.16110626,-0.19729891,-0.22023049,-0.056821022,-0.27155548,-0.2958585,-0.13097383,-0.024956562,-0.42081273,0.07315316,-0.38622707,-0.16087589,-0.25211245,-0.2110957,-0.324376,-0.22969499,-0.32859933,0.15215081,-0.22369368,-0.24698481,-0.34804934,-0.22357179,-0.35087836,-0.16815133,-0.32269326,-0.22744292,-0.3796471,-0.040080536,-0.19477963,0.32163098,-0.3413544,-0.42944473,-0.1627743,-0.27645123,-0.2904055
F,-0.20039198,-0.31730098,-0.22393449,-0.3310175,0.092521265,-0.30215582,-0.40389982,-0.30827036,0.00046580826,-0.17200842,-0.33637992,-0.08152345,0.47009963,-0.28047296,-0.27051687,-0.3672547,-0.012790842,-0.3285661,-0.23937291,-0.33964843,-0.42165044,-0.340507,-0.21833543,-0.36619532,-0.32720745,-0.29759285,2.2029054,0.3813589,-0.19449398,-0.3434988,-0.40944415,-0.27582994,-0.36065346,0.4359291,-0.2848968,-0.42358795,-0.26203454,-0.22797208,0.040572293,-0.36771148,-0.1480413,-0.38411993,-0.32801178,0.30864045,-0.22256128,-0.1397005,-0.2879521,-0.24016301,0.045799054,-0.23039123,-0.29473338,-0.27313703,0.11586631,-0.26246098,0.28028706,-0.39634657,-0.33431432,0.50313103,-0.3596621,-0.24753438,-0.37558064,-0.25878018,-0.2192076,1.9320439,-0.4113503,-0.34582835,-0.15078577,0.2196374,-0.2905392,-0.43011075,-0.3575872,-0.023432167,-0.099564895,-0.4409043,-0.23421663,-0.20319696,-0.43618858,-0.27210382,-0.32425508,-0.34793916,-0.32926318,-0.25330955,-0.40338427,-0.34427387,-0.09497348,-0.38314226,-0.42579514,-0.36293077,-0.3088646,-0.059518557,1.8498849,-0.20825319,-0.3578207,-0.2845365,-0.32574275,-0.27761504,-0.29368022,-0.33733952,-0.29145813,-0.1150453,-0.1739177,-0.43482468,0.19225585,-0.43220738,-0.2487946,-0.2461953,-0.16611937,-0.4324152,-0.21878484,-0.40671855,0.15118697,-0.37813538,-0.33390152,-0.26669255,-0.37592754,-0.3991683,-0.3568487,-0.26646867,-0.2704518,-0.4195007,-0.0890867,-0.20315701,-0.09671563,-0.3376632,-0.44287986,-0.2922981,-0.30494905,-0.28498405
Na,0.08820337,-0.3645455,-0.3424664,0.1640763,0.16372027,-0.32010245,-0.37609914,-0.23226252,0.011813459,-0.22945446,-0.335409,-0.29517162,-0.32344475,-0.03445758,0.8982895,-0.18441041,-0.30265749,-0.36513236,-0.3419213,0.10543148,-0.29947248,-0.12913837,0.011832464,-0.30624533,-0.3854405,-0.3649008,1.3450067,0.8678192,-0.05223696,-0.3518415,-0.27562806,-0.40795112,-0.11489187,-0.11804538,-0.25104958,-0.38589257,-0.17370458,-0.0079581095,-0.4028158,-0.43736216,-0.37295398,-0.24604046,-0.22239797,0.6470236,-0.3505524,-0.3652012,-0.21845892,-0.4165729,0.6163352,2.805916,-0.17632684,-0.29506823,-0.41117653,-0.28564224,-0.24696045,-0.04820985,0.49606627,0.2690434,-0.16600062,0.16349688,-0.30722344,-0.39448035,-0.32514212,-0.29653543,-0.37939045,-0.21647522,-0.40857512,-0.27137417,-0.40847182,-0.40302157,-0.44287685,-0.35024366,-0.29523748,-0.22208068,-0.39286083,-0.33962005,0.20126791,-0.2670307,-0.33871663,-0.19543043,-0.34177813,-0.37709162,2.850038,-0.22381312,-0.17010073,-0.36048684,-0.090799294,1.0046569,-0.055949662,-0.37100554,-0.11021925,-0.37449884,-0.25477973,0.7390485,-0.23462865,-0.40270683,-0.40385863,2.129645,-0.43515572,-0.16022997,-0.18649459,0.15896381,-0.34014478,-0.37522817,-0.118191846,-0.077758566,-0.1518956,-0.28275612,0.1093208,-0.25940594,-0.41552782,-0.14420247,0.9903624,-0.3007818,-0.36188242,-0.03510136,-0.26467985,0.30437955,-0.27575657,-0.4393712,-0.23208705,-0.21232216,0.592779,-0.1697866,-0.3753651,-0.19779308,-0.09406636,-0.1526639
